#gottowik@astro9:/common/scrd/gottowik/offline/trunk/Framework/SDetector$ grep -B7 "    <inGrid> 1 </inGrid>" SStationList.xml.in | grep -E 'northing|easting|id=' > ~/blabla.txt

 437 6085351.07  461877.91 
 438 6082753.38  463372.07 
 439 6071063.4  461125.52 
 440 6072356.27  460376.49 
 441 6072358.22  461878.51 
 442 6071063.57  462625.44 
 443 6071064.49  465624.26 
 444 6071065.5  464125.18 
 445 6069764.01  463376.3 
 446 6069772.65  464875.85 
 447 6085351.87  455877.9 
 448 6084053.96  461128.82 
 449 6086652.36  459630.07 
 450 6091849.15  480625.69 
 451 6082757.42  461877.45 
 452 6091844.76  482128.51 
 453 6086649.84  461128.24 
 454 6093148.65  482877.2 
 455 6087946.65  481376.35 
 456 6089263.01  482122.02 
 457 6089246.68  480625.6 
 458 6090544.04  482876.08 
 459 6090544.01  481378.17 
 460 6078856.49  483632.44 
 461 6077554.79  482877.81 
 462 6076252.53  483628.34 
 463 6074956.72  481373.92 
 464 6077554.33  484376.21 
 465 6080156.02  485875.09 
 466 6078856.53  485125.96 
 467 6071077.08  480627.49 
 468 6072354.27  479874.73 
 469 6071063.53  479128.63 
 470 6072357.16  470875.88 
 471 6080153.95  484379.34 
 472 6081464.56  485117.53 
 473 6076255.48  482125.74 
 474 6074954.81  482874.1 
 475 6076265.71  480631.84 
 476 6072350.64  481371.96 
 477 6072349.04  482885.26 
 478 6073657.65  483626.52 
 479 6073655.73  480624.6 
 480 6073657.15  482127.86 
 481 6094449.72  465624.93 
 482 6095746.15  464876.93 
 483 6082758.5  484384.21 
 484 6095767.34  463382.23 
 485 6095743.53  466373.03 
 486 6097039.24  462622.9 
 487 6097035.09  465625.61 
 488 6097034.49  464126.52 
 489 6098279.61  461883.69 
 490 6084047.31  485127.91 
 491 6082763.63  485870.47 
 492 6081454.31  486624.62 
 493 6082757.05  487375.81 
 494 6084047.78  486632.98 
 495 6085344.33  485875.68 
 496 6084045.06  488125.59 
 497 6084037.69  483626.5 
 498 6086642.24  482126.14 
 499 6085332.09  484385.12 
 500 6080166.28  488887.77 
 501 6085343.45  482873.9 
 502 6099637.46  473126.28 
 503 6100932.26  476877.57 
 504 6098344.9  476874.5 
 505 6100933.6  478377.44 
 506 6099641.78  477625.65 
 507 6091848.24  489626.6 
 508 6091848.18  486624.25 
 509 6100937.91  473879.2 
 510 6099638.64  476126.46 
 511 6100935.91  475378.84 
 512 6077553.8  488877.72 
 513 6085342.21  488876.04 
 514 6090546.53  484376.3 
 515 6098341.05  473875.83 
 516 6076253.53  488128.78 
 517 6074961.56  484373.72 
 518 6077553.86  485875.72 
 519 6077553.28  487376.92 
 520 6073663.68  485131.51 
 521 6089247.01  488125.77 
 522 6098340.23  478375.6 
 523 6099638.46  474631.95 
 524 6082757.46  491877.74 
 525 6098332.71  475440.08 
 526 6082757.55  490375.03 
 527 6074952.86  487379.27 
 528 6087932.05  485873.18 
 529 6087946.04  487375.5 
 530 6076257.97  485127.94 
 531 6076253.56  486624.59 
 532 6089241.23  483624.32 
 533 6074953.30  485884.58 
 534 6087936.35  484374.96 
 535 6098334.56  464875.82 
 536 6098332.36  463378.55 
 537 6098334.9  466375.85 
 538 6086641.81  483620.71 
 539 6086638.85  485124.51 
 540 6087947.08  482873.0 
 541 6090546.86  488875.88 
 542 6098339.08  467876.16 
 543 6093149.9  485873.07 
 544 6087939.16  488909.83 
 545 6112638.12  471595.71 
 546 6082758.42  488873.97 
 547 6086643.74  489625.87 
 548 6097054.89  468628.2 
 549 6093146.64  484376.94 
 550 6078845.73  488131.59 
 551 6100934.51  461826.53 
